"palavra";"sentimento"
"clamasse";"neg"
"clamassem";"neg"
"clamasses";"neg"
"clamaste";"neg"
"clamastes";"neg"
"clamava";"neg"
"clamavam";"neg"
"clamavas";"neg"
"clame";"neg"
"clamei";"neg"
"clameis";"neg"
"clamem";"neg"
"clamemos";"neg"
"clames";"neg"
"clamo";"neg"
"clamou";"neg"
"clamáramos";"neg"
"clamáreis";"neg"
"clamásseis";"neg"
"clamássemos";"neg"
"clamávamos";"neg"
"clamáveis";"neg"
"clara";"pos"
"claramente";"pos"
"claras";"pos"
"clareada";"pos"
"clareadas";"pos"
"clareado";"pos"
"clareados";"pos"
"clareai";"pos"
"clareais";"pos"
"clareamos";"pos"
"clareando";"pos"
"clarear";"pos"
"clareara";"pos"
"clarearam";"pos"
"clarearas";"pos"
"clareardes";"pos"
"clarearei";"pos"
"clareareis";"pos"
"clarearem";"pos"
"clarearemos";"pos"
"clareares";"pos"
"clarearia";"pos"
"clareariam";"pos"
"clarearias";"pos"
"clarearmos";"pos"
"clareará";"pos"
"clarearás";"pos"
"clarearão";"pos"
"clarearíamos";"pos"
"clarearíeis";"pos"
"clareasse";"pos"
"clareassem";"pos"
"clareasses";"pos"
"clareaste";"pos"
"clareastes";"pos"
"clareava";"pos"
"clareavam";"pos"
"clareavas";"pos"
"clareei";"pos"
"clareeis";"pos"
"clareemos";"pos"
"clareia";"pos"
"clareiam";"pos"
"clareias";"pos"
"clareie";"pos"
"clareiem";"pos"
"clareies";"pos"
"clareio";"pos"
"clareou";"pos"
"clareza";"pos"
"clareáramos";"pos"
"clareáreis";"pos"
"clareásseis";"pos"
"clareássemos";"pos"
"clareávamos";"pos"
"clareáveis";"pos"
"claridade";"pos"
"claro";"pos"
"claros";"pos"
"clemência";"pos"
"cobice";"neg"
"cobicei";"neg"
"cobiceis";"neg"
"cobicem";"neg"
"cobicemos";"neg"
"cobices";"neg"
"cobiça";"neg"
"cobiçada";"neg"
"cobiçadas";"neg"
"cobiçado";"neg"
"cobiçados";"neg"
"cobiçai";"neg"
"cobiçais";"neg"
"cobiçam";"neg"
"cobiçamos";"neg"
"cobiçando";"neg"
"cobiçar";"neg"
"cobiçara";"neg"
"cobiçaram";"neg"
"cobiçaras";"neg"
"cobiçardes";"neg"
"cobiçarei";"neg"
"cobiçareis";"neg"
"cobiçarem";"neg"
"cobiçaremos";"neg"
"cobiçares";"neg"
"cobiçaria";"neg"
"cobiçariam";"neg"
"cobiçarias";"neg"
"cobiçarmos";"neg"
"cobiçará";"neg"
"cobiçarás";"neg"
"cobiçarão";"neg"
"cobiçaríamos";"neg"
"cobiçaríeis";"neg"
"cobiças";"neg"
"cobiçasse";"neg"
"cobiçassem";"neg"
"cobiçasses";"neg"
"cobiçaste";"neg"
"cobiçastes";"neg"
"cobiçava";"neg"
"cobiçavam";"neg"
"cobiçavas";"neg"
"cobiço";"neg"
"cobiçou";"neg"
"cobiçáramos";"neg"
"cobiçáreis";"neg"
"cobiçásseis";"neg"
"cobiçássemos";"neg"
"cobiçávamos";"neg"
"cobiçáveis";"neg"
"colapso";"neg"
"combata";"neg"
"combatais";"neg"
"combatam";"neg"
"combatamos";"neg"
"combatas";"neg"
"combate";"neg"
"combatei";"neg"
"combateis";"neg"
"combatem";"neg"
"combatemos";"neg"
"combatendo";"neg"
"combater";"neg"
"combatera";"neg"
"combateram";"neg"
"combateras";"neg"
"combaterdes";"neg"
"combaterei";"neg"
"combatereis";"neg"
"combaterem";"neg"
"combateremos";"neg"
"combateres";"neg"
"combateria";"neg"
"combateriam";"neg"
"combaterias";"neg"
"combatermos";"neg"
"combaterá";"neg"
"combaterás";"neg"
"combaterão";"neg"
"combateríamos";"neg"
"combateríeis";"neg"
"combates";"neg"
"combatesse";"neg"
"combatessem";"neg"
"combatesses";"neg"
"combateste";"neg"
"combatestes";"neg"
"combateu";"neg"
"combati";"neg"
"combatia";"neg"
"combatiam";"neg"
"combatias";"neg"
"combatida";"neg"
"combatidas";"neg"
"combatido";"neg"
"combatidos";"neg"
"combato";"neg"
"combatêramos";"neg"
"combatêreis";"neg"
"combatêsseis";"neg"
"combatêssemos";"neg"
"combatíamos";"neg"
"combatíeis";"neg"
"combina";"pos"
"combinada";"pos"
"combinadas";"pos"
"combinado";"pos"
"combinados";"pos"
"combinai";"pos"
"combinais";"pos"
"combinam";"pos"
"combinamos";"pos"
"combinando";"pos"
"combinar";"pos"
"combinara";"pos"
"combinaram";"pos"
"combinaras";"pos"
"combinardes";"pos"
"combinarei";"pos"
"combinareis";"pos"
"combinarem";"pos"
"combinaremos";"pos"
"combinares";"pos"
"combinaria";"pos"
"combinariam";"pos"
"combinarias";"pos"
"combinarmos";"pos"
"combinará";"pos"
"combinarás";"pos"
"combinarão";"pos"
"combinaríamos";"pos"
"combinaríeis";"pos"
"combinas";"pos"
"combinasse";"pos"
"combinassem";"pos"
"combinasses";"pos"
"combinaste";"pos"
"combinastes";"pos"
"combinava";"pos"
"combinavam";"pos"
"combinavas";"pos"
"combine";"pos"
"combinei";"pos"
"combineis";"pos"
"combinem";"pos"
"combinemos";"pos"
"combines";"pos"
"combino";"pos"
"combinou";"pos"
"combináramos";"pos"
"combináreis";"pos"
"combinásseis";"pos"
"combinássemos";"pos"
"combinávamos";"pos"
"combináveis";"pos"
"comicamente";"pos"
"comodamente";"pos"
"comodidade";"pos"
"comova";"pos"
"comovais";"pos"
"comovam";"pos"
"comovamos";"pos"
"comovas";"pos"
"comove";"pos"
"comovei";"pos"
"comoveis";"pos"
"comovem";"pos"
"comovemos";"pos"
"comovendo";"pos"
"comover";"pos"
"comovera";"pos"
"comoveram";"pos"
"comoveras";"pos"
"comoverdes";"pos"
"comoverei";"pos"
"comovereis";"pos"
"comoverem";"pos"
"comoveremos";"pos"
"comoveres";"pos"
"comoveria";"pos"
"comoveriam";"pos"
"comoverias";"pos"
"comovermos";"pos"
"comoverá";"pos"
"comoverás";"pos"
"comoverão";"pos"
"comoveríamos";"pos"
"comoveríeis";"pos"
"comoves";"pos"
"comovesse";"pos"
"comovessem";"pos"
"comovesses";"pos"
"comoveste";"pos"
"comovestes";"pos"
"comoveu";"pos"
"comovi";"pos"
"comovia";"pos"
"comoviam";"pos"
"comovias";"pos"
"comovida";"pos"
"comovidas";"pos"
"comovido";"pos"
"comovidos";"pos"
"comovo";"pos"
"comovêramos";"pos"
"comovêreis";"pos"
"comovêsseis";"pos"
"comovêssemos";"pos"
"comovíamos";"pos"
"comovíeis";"pos"
"comoção";"neg"
"compaixão";"pos"
"compartilha";"pos"
"compartilhada";"pos"
"compartilhadas";"pos"
"compartilhado";"pos"
"compartilhados";"pos"
"compartilhai";"pos"
"compartilhais";"pos"
"compartilham";"pos"
"compartilhamos";"pos"
"compartilhando";"pos"
"compartilhar";"pos"
"compartilhara";"pos"
"compartilharam";"pos"
"compartilharas";"pos"
"compartilhardes";"pos"
"compartilharei";"pos"
"compartilhareis";"pos"
"compartilharem";"pos"
"compartilharemos";"pos"
"compartilhares";"pos"
"compartilharia";"pos"
"compartilhariam";"pos"
"compartilharias";"pos"
"compartilharmos";"pos"
"compartilhará";"pos"
"compartilharás";"pos"
"compartilharão";"pos"
"compartilharíamos";"pos"
"compartilharíeis";"pos"
"compartilhas";"pos"
"compartilhasse";"pos"
"compartilhassem";"pos"
"compartilhasses";"pos"
"compartilhaste";"pos"
"compartilhastes";"pos"
"compartilhava";"pos"
"compartilhavam";"pos"
"compartilhavas";"pos"
"compartilhe";"pos"
"compartilhei";"pos"
"compartilheis";"pos"
"compartilhem";"pos"
"compartilhemos";"pos"
"compartilhes";"pos"
"compartilho";"pos"
"compartilhou";"pos"
"compartilháramos";"pos"
"compartilháreis";"pos"
"compartilhásseis";"pos"
"compartilhássemos";"pos"
"compartilhávamos";"pos"
"compartilháveis";"pos"
"compassivo";"pos"
"complacente";"pos"
"complacentes";"pos"
"completa";"pos"
"completas";"pos"
"comportada";"pos"
"comportadas";"pos"
"compostura";"pos"
"compreensão";"pos"
"compressão";"neg"
"comprometa";"pos"
"comprometais";"pos"
"comprometam";"pos"
"comprometamos";"pos"
"comprometas";"pos"
"compromete";"pos"
"comprometei";"pos"
"comprometeis";"pos"
"comprometem";"pos"
"comprometemos";"pos"
"comprometendo";"pos"
"comprometer";"pos"
"comprometera";"pos"
"comprometeram";"pos"
"comprometeras";"pos"
"comprometerdes";"pos"
"comprometerei";"pos"
"comprometereis";"pos"
"comprometerem";"pos"
"comprometeremos";"pos"
"comprometeres";"pos"
"comprometeria";"pos"
"comprometeriam";"pos"
"comprometerias";"pos"
"comprometermos";"pos"
"comprometerá";"pos"
"comprometerás";"pos"
"comprometerão";"pos"
"comprometeríamos";"pos"
"comprometeríeis";"pos"
"comprometes";"pos"
"comprometesse";"pos"
"comprometessem";"pos"
"comprometesses";"pos"
"comprometeste";"pos"
"comprometestes";"pos"
"comprometeu";"pos"
"comprometi";"pos"
"comprometia";"pos"
"comprometiam";"pos"
"comprometias";"pos"
"comprometida";"pos"
"comprometidas";"pos"
"comprometido";"pos"
"comprometidos";"pos"
"comprometo";"pos"
"comprometêramos";"pos"
"comprometêreis";"pos"
"comprometêsseis";"pos"
"comprometêssemos";"pos"
"comprometíamos";"pos"
"comprometíeis";"pos"
"comum";"neg"
"comuns";"neg"
"concedendo";"pos"
"concilia";"pos"
"conciliada";"pos"
"conciliadas";"pos"
"conciliado";"pos"
"conciliados";"pos"
"conciliai";"pos"
"conciliais";"pos"
"conciliam";"pos"
"conciliamos";"pos"
"conciliando";"pos"
"conciliar";"pos"
"conciliara";"pos"
"conciliaram";"pos"
"conciliaras";"pos"
"conciliardes";"pos"
"conciliarei";"pos"
"conciliareis";"pos"
"conciliarem";"pos"
"conciliaremos";"pos"
"conciliares";"pos"
"conciliaria";"pos"
"conciliariam";"pos"
"conciliarias";"pos"
"conciliarmos";"pos"
"conciliará";"pos"
"conciliarás";"pos"
"conciliarão";"pos"
"conciliaríamos";"pos"
"conciliaríeis";"pos"
"concilias";"pos"
"conciliasse";"pos"
"conciliassem";"pos"
"conciliasses";"pos"
"conciliaste";"pos"
"conciliastes";"pos"
"conciliava";"pos"
"conciliavam";"pos"
"conciliavas";"pos"
"concilie";"pos"
"conciliei";"pos"
"concilieis";"pos"
"conciliem";"pos"
"conciliemos";"pos"
"concilies";"pos"
"concilio";"pos"
"conciliou";"pos"
"conciliáramos";"pos"
"conciliáreis";"pos"
"conciliásseis";"pos"
"conciliássemos";"pos"
"conciliávamos";"pos"
"conciliáveis";"pos"
"conclusão";"pos"
"concorda";"pos"
"concordada";"pos"
"concordadas";"pos"
"concordado";"pos"
"concordados";"pos"
"concordai";"pos"
"concordais";"pos"
"concordam";"pos"
"concordamos";"pos"
"concordando";"pos"
"concordar";"pos"
"concordara";"pos"
"concordaram";"pos"
"concordaras";"pos"
"concordardes";"pos"
"concordarei";"pos"
"concordareis";"pos"
"concordarem";"pos"
"concordaremos";"pos"
"concordares";"pos"
"concordaria";"pos"
"concordariam";"pos"
"concordarias";"pos"
"concordarmos";"pos"
"concordará";"pos"
"concordarás";"pos"
"concordarão";"pos"
"concordaríamos";"pos"
"concordaríeis";"pos"
"concordas";"pos"
"concordasse";"pos"
"concordassem";"pos"
"concordasses";"pos"
"concordaste";"pos"
"concordastes";"pos"
"concordava";"pos"
"concordavam";"pos"
"concordavas";"pos"
"concorde";"pos"
"concordei";"pos"
"concordeis";"pos"
"concordem";"pos"
"concordemos";"pos"
"concordes";"pos"
"concordo";"pos"
"concordou";"pos"
"concordáramos";"pos"
"concordáreis";"pos"
"concordásseis";"pos"
"concordássemos";"pos"
"concordávamos";"pos"
"concordáveis";"pos"
"concordância";"pos"
"concórdia";"pos"
"condena";"neg"
"condenada";"neg"
"condenadas";"neg"
"condenado";"neg"
"condenados";"neg"
"condenai";"neg"
"condenais";"neg"
"condenam";"neg"
"condenamos";"neg"
"condenando";"neg"
"condenar";"neg"
"condenara";"neg"
"condenaram";"neg"
"condenaras";"neg"
"condenardes";"neg"
"condenarei";"neg"
"condenareis";"neg"
"condenarem";"neg"
"condenaremos";"neg"
"condenares";"neg"
"condenaria";"neg"
"condenariam";"neg"
"condenarias";"neg"
"condenarmos";"neg"
"condenará";"neg"
"condenarás";"neg"
"condenarão";"neg"
"condenaríamos";"neg"
"condenaríeis";"neg"
"condenas";"neg"
"condenasse";"neg"
"condenassem";"neg"
"condenasses";"neg"
"condenaste";"neg"
"condenastes";"neg"
"condenava";"neg"
"condenavam";"neg"
"condenavas";"neg"
"condene";"neg"
"condenei";"neg"
"condeneis";"neg"
"condenem";"neg"
"condenemos";"neg"
"condenes";"neg"
"condeno";"neg"
"condenou";"neg"
"condenáramos";"neg"
"condenáreis";"neg"
"condenásseis";"neg"
"condenássemos";"neg"
"condenávamos";"neg"
"condenáveis";"neg"
"condescendência";"pos"
"confere";"pos"
"conferem";"pos"
"conferes";"pos"
"conferi";"pos"
"conferia";"pos"
"conferiam";"pos"
"conferias";"pos"
"conferida";"pos"
"conferidas";"pos"
"conferido";"pos"
"conferidos";"pos"
"conferimos";"pos"
"conferindo";"pos"
"conferir";"pos"
"conferira";"pos"
"conferiram";"pos"
"conferiras";"pos"
"conferirdes";"pos"
"conferirei";"pos"
"conferireis";"pos"
"conferirem";"pos"
"conferiremos";"pos"
"conferires";"pos"
"conferiria";"pos"
"confeririam";"pos"
"conferirias";"pos"
"conferirmos";"pos"
"conferirá";"pos"
"conferirás";"pos"
"conferirão";"pos"
"conferiríamos";"pos"
"conferiríeis";"pos"
"conferis";"pos"
"conferisse";"pos"
"conferissem";"pos"
"conferisses";"pos"
"conferiste";"pos"
"conferistes";"pos"
"conferiu";"pos"
"conferíamos";"pos"
"conferíeis";"pos"
"conferíramos";"pos"
"conferíreis";"pos"
"conferísseis";"pos"
"conferíssemos";"pos"
"confia";"pos"
"confiada";"pos"
"confiadas";"pos"
"confiado";"pos"
"confiados";"pos"
"confiai";"pos"
"confiais";"pos"
"confiam";"pos"
"confiamos";"pos"
"confiando";"pos"
"confiante";"pos"
"confiantemente";"pos"
"confiança";"pos"
"confiar";"pos"
"confiara";"pos"
"confiaram";"pos"
"confiaras";"pos"
"confiardes";"pos"
"confiarei";"pos"
"confiareis";"pos"
"confiarem";"pos"
"confiaremos";"pos"
"confiares";"pos"
"confiaria";"pos"
"confiariam";"pos"
"confiarias";"pos"
"confiarmos";"pos"
"confiará";"pos"
"confiarás";"pos"
"confiarão";"pos"
"confiaríamos";"pos"
"confiaríeis";"pos"
"confias";"pos"
"confiasse";"pos"
"confiassem";"pos"
"confiasses";"pos"
"confiaste";"pos"
"confiastes";"pos"
"confiava";"pos"
"confiavam";"pos"
"confiavas";"pos"
"confidência";"pos"
"confie";"pos"
"confiei";"pos"
"confieis";"pos"
"confiem";"pos"
"confiemos";"pos"
"confies";"pos"
"confio";"pos"
"confiou";"pos"
"confira";"pos"
"confirais";"pos"
"confiram";"pos"
"confiramos";"pos"
"confiras";"pos"
"confiro";"pos"
"confiáramos";"pos"
"confiáreis";"pos"
"confiásseis";"pos"
"confiássemos";"pos"
"confiávamos";"pos"
"confiáveis";"pos"
"conflito";"neg"
"conflitos";"neg"
"conformado-se";"neg"
"conformando-se";"neg"
"conformemente";"pos"
"conformidade";"pos"
"conforta";"pos"
"confortada";"pos"
"confortadas";"pos"
"confortado";"pos"
"confortados";"pos"
"confortai";"pos"
"confortais";"pos"
"confortam";"pos"
"confortamos";"pos"
"confortando";"pos"
"confortar";"pos"
"confortara";"pos"
"confortaram";"pos"
"confortaras";"pos"
"confortardes";"pos"
"confortarei";"pos"
"confortareis";"pos"
"confortarem";"pos"
"confortaremos";"pos"
"confortares";"pos"
"confortaria";"pos"
"confortariam";"pos"
"confortarias";"pos"
"confortarmos";"pos"
"confortará";"pos"
"confortarás";"pos"
"confortarão";"pos"
"confortaríamos";"pos"
"confortaríeis";"pos"
"confortas";"pos"
"confortasse";"pos"
"confortassem";"pos"
"confortasses";"pos"
"confortaste";"pos"
"confortastes";"pos"
"confortava";"pos"
"confortavam";"pos"
"confortavas";"pos"
"conforte";"pos"
"confortei";"pos"
"conforteis";"pos"
"confortem";"pos"
"confortemos";"pos"
"confortes";"pos"
"conforto";"pos"
"confortou";"pos"
"confortáramos";"pos"
"confortáreis";"pos"
"confortásseis";"pos"
"confortássemos";"pos"
"confortávamos";"pos"
"confortáveis";"pos"
"confunda";"neg"
"confundais";"neg"
"confundam";"neg"
"confundamos";"neg"
"confundas";"neg"
"confunde";"neg"
"confundem";"neg"
"confundes";"neg"
"confundi";"neg"
"confundia";"neg"
"confundiam";"neg"
"confundias";"neg"
"confundida";"neg"
"confundidas";"neg"
"confundido";"neg"
"confundidos";"neg"
"confundimos";"neg"
"confundindo";"neg"
"confundir";"neg"
"confundira";"neg"
"confundiram";"neg"
"confundiras";"neg"
"confundirdes";"neg"
"confundirei";"neg"
"confundireis";"neg"
"confundirem";"neg"
"confundiremos";"neg"
"confundires";"neg"
"confundiria";"neg"
"confundiriam";"neg"
"confundirias";"neg"
"confundirmos";"neg"
"confundirá";"neg"
"confundirás";"neg"
"confundirão";"neg"
"confundiríamos";"neg"
"confundiríeis";"neg"
"confundis";"neg"
"confundisse";"neg"
"confundissem";"neg"
"confundisses";"neg"
"confundiste";"neg"
"confundistes";"neg"
"confundiu";"neg"
"confundo";"neg"
"confundíamos";"neg"
"confundíeis";"neg"
"confundíramos";"neg"
"confundíreis";"neg"
"confundísseis";"neg"
"confundíssemos";"neg"
"confusa";"neg"
"confusamente";"neg"
"confusas";"neg"
"confuso";"neg"
"confusos";"neg"
"confusão";"neg"
"conquista";"pos"
"conquistada";"pos"
"conquistadas";"pos"
"conquistado";"pos"
"conquistados";"pos"
"conquistai";"pos"
"conquistais";"pos"
"conquistam";"pos"
"conquistamos";"pos"
"conquistando";"pos"
"conquistar";"pos"
"conquistara";"pos"
"conquistaram";"pos"
"conquistaras";"pos"
"conquistardes";"pos"
"conquistarei";"pos"
"conquistareis";"pos"
"conquistarem";"pos"
"conquistaremos";"pos"
"conquistares";"pos"
"conquistaria";"pos"
"conquistariam";"pos"
"conquistarias";"pos"
"conquistarmos";"pos"
"conquistará";"pos"
"conquistarás";"pos"
"conquistarão";"pos"
"conquistaríamos";"pos"
"conquistaríeis";"pos"
"conquistas";"pos"
"conquistasse";"pos"
"conquistassem";"pos"
"conquistasses";"pos"
"conquistaste";"pos"
"conquistastes";"pos"
"conquistava";"pos"
"conquistavam";"pos"
"conquistavas";"pos"
"conquiste";"pos"
"conquistei";"pos"
"conquisteis";"pos"
"conquistem";"pos"
"conquistemos";"pos"
"conquistes";"pos"
"conquisto";"pos"
"conquistou";"pos"
"conquistáramos";"pos"
"conquistáreis";"pos"
"conquistásseis";"pos"
"conquistássemos";"pos"
"conquistávamos";"pos"
"conquistáveis";"pos"
"consagração";"pos"
"consegue";"pos"
"conseguem";"pos"
"consegues";"pos"
"consegui";"pos"
"conseguia";"pos"
"conseguiam";"pos"
"conseguias";"pos"
"conseguida";"pos"
"conseguidas";"pos"
"conseguido";"pos"
"conseguidos";"pos"
"conseguimos";"pos"
"conseguindo";"pos"
"conseguir";"pos"
"conseguira";"pos"
"conseguiram";"pos"
"conseguiras";"pos"
"conseguirdes";"pos"
"conseguirei";"pos"
"conseguireis";"pos"
"conseguirem";"pos"
"conseguiremos";"pos"
"conseguires";"pos"
"conseguiria";"pos"
"conseguiriam";"pos"
"conseguirias";"pos"
"conseguirmos";"pos"
"conseguirá";"pos"
"conseguirás";"pos"
"conseguirão";"pos"
"conseguiríamos";"pos"
"conseguiríeis";"pos"
"conseguis";"pos"
"conseguisse";"pos"
"conseguissem";"pos"
"conseguisses";"pos"
"conseguiste";"pos"
"conseguistes";"pos"
"conseguiu";"pos"
"conseguíamos";"pos"
"conseguíeis";"pos"
"conseguíramos";"pos"
"conseguíreis";"pos"
"conseguísseis";"pos"
"conseguíssemos";"pos"
"consente";"pos"
"consentem";"pos"
"consentes";"pos"
"consenti";"pos"
"consentia";"pos"
"consentiam";"pos"
"consentias";"pos"
"consentida";"pos"
"consentidas";"pos"
"consentido";"pos"
"consentidos";"pos"
"consentimento";"pos"
"consentimos";"pos"
"consentindo";"pos"
"consentir";"pos"
"consentira";"pos"
"consentiram";"pos"
"consentiras";"pos"
"consentirdes";"pos"
"consentirei";"pos"
"consentireis";"pos"
"consentirem";"pos"
"consentiremos";"pos"
"consentires";"pos"
"consentiria";"pos"
"consentiriam";"pos"
"consentirias";"pos"
"consentirmos";"pos"
"consentirá";"pos"
"consentirás";"pos"
"consentirão";"pos"
"consentiríamos";"pos"
"consentiríeis";"pos"
"consentis";"pos"
"consentisse";"pos"
"consentissem";"pos"
"consentisses";"pos"
"consentiste";"pos"
"consentistes";"pos"
"consentiu";"pos"
"consentíamos";"pos"
"consentíeis";"pos"
"consentíramos";"pos"
"consentíreis";"pos"
"consentísseis";"pos"
"consentíssemos";"pos"
"consequência";"pos"
"considera";"pos"
"considera-se";"pos"
"considerada";"pos"
"consideradas";"pos"
"considerado";"pos"
"considerados";"pos"
"considerai";"pos"
"considerais";"pos"
"consideram";"pos"
"consideramos";"pos"
"considerando";"pos"
"considerando-se";"pos"
"considerar";"pos"
"considerara";"pos"
"consideraram";"pos"
"consideraras";"pos"
"considerardes";"pos"
"considerarei";"pos"
"considerareis";"pos"
"considerarem";"pos"
"consideraremos";"pos"
"considerares";"pos"
"consideraria";"pos"
"considerariam";"pos"
"considerarias";"pos"
"considerarmos";"pos"
"considerará";"pos"
"considerarás";"pos"
"considerarão";"pos"
"consideraríamos";"pos"
"consideraríeis";"pos"
"consideras";"pos"
"considerasse";"pos"
"considerassem";"pos"
"considerasses";"pos"
"consideraste";"pos"
"considerastes";"pos"
"considerava";"pos"
"consideravam";"pos"
"consideravas";"pos"
"consideração";"pos"
"considere";"pos"
"considerei";"pos"
"considereis";"pos"
"considerem";"pos"
"consideremos";"pos"
"consideres";"pos"
"considero";"pos"
"considerou";"pos"
"consideráramos";"pos"
"consideráreis";"pos"
"considerásseis";"pos"
"considerássemos";"pos"
"considerávamos";"pos"
"consideráveis";"pos"
"consiga";"pos"
"consigais";"pos"
"consigam";"pos"
"consigamos";"pos"
"consigas";"pos"
"consigna";"pos"
"consignada";"pos"
"consignadas";"pos"
"consignado";"pos"
"consignados";"pos"
"consignai";"pos"
"consignais";"pos"
"consignam";"pos"
"consignamos";"pos"
"consignando";"pos"
"consignar";"pos"
"consignara";"pos"
"consignaram";"pos"
"consignaras";"pos"
"consignardes";"pos"
"consignarei";"pos"
"consignareis";"pos"
"consignarem";"pos"
"consignaremos";"pos"
"consignares";"pos"
"consignaria";"pos"
"consignariam";"pos"
"consignarias";"pos"
"consignarmos";"pos"
"consignará";"pos"
"consignarás";"pos"
"consignarão";"pos"
"consignaríamos";"pos"
"consignaríeis";"pos"
"consignas";"pos"
"consignasse";"pos"
"consignassem";"pos"
"consignasses";"pos"
"consignaste";"pos"
"consignastes";"pos"
"consignava";"pos"
"consignavam";"pos"
"consignavas";"pos"
"consigne";"pos"
"consignei";"pos"
"consigneis";"pos"
"consignem";"pos"
"consignemos";"pos"
"consignes";"pos"
"consigno";"pos"
"consignou";"pos"
"consignáramos";"pos"
"consignáreis";"pos"
"consignásseis";"pos"
"consignássemos";"pos"
"consignávamos";"pos"
"consignáveis";"pos"
"consigo";"pos"
"consinta";"pos"
"consintais";"pos"
"consintam";"pos"
"consintamos";"pos"
"consintas";"pos"
"consinto";"pos"
"consola";"pos"
"consolada";"pos"
"consoladas";"pos"
"consolado";"pos"
"consolados";"pos"
"consolai";"pos"
"consolais";"pos"
"consolam";"pos"
"consolamos";"pos"
"consolando";"pos"
"consolar";"pos"
"consolara";"pos"
"consolaram";"pos"
"consolaras";"pos"
"consolardes";"pos"
"consolarei";"pos"
"consolareis";"pos"
"consolarem";"pos"
"consolaremos";"pos"
"consolares";"pos"
"consolaria";"pos"
"consolariam";"pos"
"consolarias";"pos"
"consolarmos";"pos"
"consolará";"pos"
"consolarás";"pos"
"consolarão";"pos"
"consolaríamos";"pos"
"consolaríeis";"pos"
"consolas";"pos"
"consolasse";"pos"
"consolassem";"pos"
"consolasses";"pos"
"consolaste";"pos"
"consolastes";"pos"
"consolava";"pos"
"consolavam";"pos"
"consolavas";"pos"
"consolação";"pos"
"console";"pos"
"consolei";"pos"
"consoleis";"pos"
"consolem";"pos"
"consolemos";"pos"
"consoles";"pos"
"consolo";"pos"
"consolou";"pos"
"consoláramos";"pos"
"consoláreis";"pos"
"consolásseis";"pos"
"consolássemos";"pos"
"consolávamos";"pos"
"consoláveis";"pos"
"constância";"pos"
"consumido-se";"neg"
"consumindo-se";"neg"
"contando";"pos"
"contemos";"neg"
"contenda";"neg"
"contendas";"neg"
"contende";"neg"
"contendes";"neg"
"contendo";"neg"
"contendo-se";"neg"
"contenha";"neg"
"contenhais";"neg"
"contenham";"neg"
"contenhamos";"neg"
"contenhas";"neg"
"contenho";"neg"
"contenta";"pos"
"contentada";"pos"
"contentadas";"pos"
"contentado";"pos"
"contentados";"pos"
"contentai";"pos"
"contentais";"pos"
"contentam";"pos"
"contentamento";"pos"
"contentamos";"pos"
"contentando";"pos"
"contentar";"pos"
"contentara";"pos"
"contentaram";"pos"
"contentaras";"pos"
"contentardes";"pos"
"contentarei";"pos"
"contentareis";"pos"
"contentarem";"pos"
"contentaremos";"pos"
"contentares";"pos"
"contentaria";"pos"
"contentariam";"pos"
"contentarias";"pos"
"contentarmos";"pos"
"contentará";"pos"
"contentarás";"pos"
"contentarão";"pos"
"contentaríamos";"pos"
"contentaríeis";"pos"
"contentas";"pos"
"contentasse";"pos"
"contentassem";"pos"
"contentasses";"pos"
"contentaste";"pos"
"contentastes";"pos"
"contentava";"pos"
"contentavam";"pos"
"contentavas";"pos"
"contente";"pos"
"contentei";"pos"
"contenteis";"pos"
"contentem";"pos"
"contentemos";"pos"
"contentes";"pos"
"contento";"pos"
"contentou";"pos"
"contentáramos";"pos"
"contentáreis";"pos"
"contentásseis";"pos"
"contentássemos";"pos"
"contentávamos";"pos"
"contentáveis";"pos"
"contentíssimo";"pos"
"conter";"neg"
"conterdes";"neg"
"conterei";"neg"
"contereis";"neg"
"conterem";"neg"
"conteremos";"neg"
"conteres";"neg"
"conteria";"neg"
"conteriam";"neg"
"conterias";"neg"
"contermos";"neg"
"conterá";"neg"
"conterás";"neg"
"conterão";"neg"
"conteríamos";"neg"
"conteríeis";"neg"
"contesta";"neg"
"contestada";"neg"
"contestadas";"neg"
"contestado";"neg"
"contestados";"neg"
"contestai";"neg"
"contestais";"neg"
"contestam";"neg"
"contestamos";"neg"
"contestando";"neg"
"contestar";"neg"
"contestara";"neg"
"contestaram";"neg"
"contestaras";"neg"
"contestardes";"neg"
"contestarei";"neg"
"contestareis";"neg"
"contestarem";"neg"
"contestaremos";"neg"
"contestares";"neg"
"contestaria";"neg"
"contestariam";"neg"
"contestarias";"neg"
"contestarmos";"neg"
"contestará";"neg"
"contestarás";"neg"
"contestarão";"neg"
"contestaríamos";"neg"
"contestaríeis";"neg"
"contestas";"neg"
"contestasse";"neg"
"contestassem";"neg"
"contestasses";"neg"
"contestaste";"neg"
"contestastes";"neg"
"contestava";"neg"
"contestavam";"neg"
"contestavas";"neg"
"contestação";"neg"
"conteste";"neg"
"contestei";"neg"
"contesteis";"neg"
"contestem";"neg"
"contestemos";"neg"
"contestes";"neg"
"contesto";"neg"
"contestou";"neg"
"contestáramos";"neg"
"contestáreis";"neg"
"contestásseis";"neg"
"contestássemos";"neg"
"contestávamos";"neg"
"contestáveis";"neg"
"contida";"neg"
"contidas";"neg"
"contido";"neg"
"contido-se";"neg"
"contidos";"neg"
"continha";"neg"
"continham";"neg"
"continhas";"neg"
