"abandoned","abandonado"
"dismayed","consternado"
"dismaying","dismaying"
"dismayingly","assustadoramente"
"dismissive","desconsiderado"
"dismissive","desconsiderado"
"dismissively","dismissively"
"disobedience","desobediência"
"disobedient","desobedientes"
"disobey","desobedecer"
"disown","renegar"
"disorder","desordem"
"disorder","desordem"
"disordered","desordenada"
"disorderly","desordenada"
"disorganized","desorganizado"
"disorient","desorientar"
"disoriented","desorientado"
"disown","renegar"
"disparage","desmerecer"
"disparaging","depreciativo"
"disparagingly","depreciativamente"
"dispensable","dispensável"
"dispirit","desanimar"
"dispirited","desanimada"
"dispiritedly","desanimada"
"dispiriting","dispiriting"
"displace","deslocar"
"displaced","deslocada"
"displease","desagradar"
"displeasing","desagradando"
"displeasure","desprazer"
"displeasure","desprazer"
"disproportionate","desproporcional"
"disprove","refutar"
"disputable","discutível"
"dispute","disputa"
"dispute","disputa"
"disputed","disputada"
"disquiet","inquietação"
"disquieting","inquietante"
"disquietingly","inquietantemente"
"disquietude","inquietação"
"disregard","desrespeito"
"disregard","desrespeito"
"disregardful","desatenciosos"
"disreputable","vergonhoso"
"disrepute","descrédito"
"disrespect","desrespeito"
"disrespectable","desrespeitoso"
"disrespectablity","disrespectablity"
"disrespectful","desrespeitoso"
"disrespectfully","desrespeitosamente"
"disrespectfulness","disrespectfulness"
"disrespecting","desrespeitando"
"disrespecting","desrespeitando"
"disrupt","atrapalhar"
"disruption","interrupção"
"disruption","interrupção"
"disruptive","disruptiva"
"dissatisfaction","insatisfação"
"dissatisfaction","insatisfação"
"dissatisfactory","insatisfatório"
"dissatisfied","insatisfeito"
"dissatisfy","descontentar"
"dissatisfying","dissatisfying"
"dissemble","dissimular"
"dissembler","dissembler"
"dissension","dissensão"
"dissent","dissidência"
"dissent","dissidência"
"dissenter","dissenter"
"dissention","dissention"
"disservice","desserviço"
"disservice","desserviço"
"dissidence","dissidência"
"dissident","dissidente"
"dissident","dissidente"
"dissidents","dissidentes"
"dissidents","dissidentes"
"dissocial","dissocial"
"dissolute","dissoluta"
"dissolution","dissolução"
"dissonance","dissonância"
"dissonant","dissonante"
"dissonantly","desafinação"
"dissuade","dissuadi"
"dissuasive","dissuasivas"
"distaste","desgosto"
"distasteful","de mau gosto"
"distastefully","distastefully"
"distort","distorcer"
"distortion","distorção"
"distortion","distorção"
"distract","distrair"
"distracting","perturbador"
"distraction","distração"
"distraction","distração"
"distraught","Atormentado"
"distraughtly","distraughtly"
"distraughtness","distraughtness"
"distress","aflição"
"distressed","angustiado"
"distressing","angustiante"
"distressingly","distressingly"
"distrust","desconfiança"
"distrustful","desconfiados"
"distrusting","desconfiada"
"disturb","perturbe"
"disturbed","perturbada"
"disturbed-let","perturbada-let"
"disturbed-let","perturbada-let"
"disturbing","perturbador"
"disturbingly","perturbadoramente"
"disunity","desunião"
"disvalue","desvalor"
"divergent","divergente"
"divide","divisão"
"divided","dividido"
"division","divisão"
"divisive","divisionista"
"divisively","divisora"
"divisiveness","divisão"
"divorce","divórcio"
"divorce","divórcio"
"divorced","divorciado"
"dizzy","tonta"
"dizzing","dizzing"
"dizzingly","dizzingly"
"doddering","doddering"
"dodgey","dodgey"
"dogged","pertinaz"
"doggedly","obstinadamente"
"dogmatic","dogmática"
"doldrums","marasmo"
"dominance","dominância"
"dominance","dominância"
"dominate","dominar"
"domination","dominação"
"domination","dominação"
"domineer","dominar"
"domineering","dominadora"
"domineering","dominadora"
"doom","desgraça"
"doomsday","Juízo Final"
"doomsday","Juízo Final"
"dope","droga"
"doubt","dúvida"
"doubt","dúvida"
"doubtful","duvidoso"
"doubtfully","dúvida"
"doubts","dúvidas"
"doubts","dúvidas"
"down","para baixo"
"downbeat","downbeat"
"downcast","abatido"
"downer","Downer"
"downfall","ruína"
"downfallen","downfallen"
"downgrade","rebaixamento"
"downhearted","downhearted"
"downheartedly","downheartedly"
"downside","downside"
"drab","monótono"
"draconian","draconiana"
"draconic","dracônico"
"dragon","dragão"
"dragons","dragões"
"dragons","dragões"
"dragoon","dragoon"
"drain","drenar"
"drain","drenar"
"drama","o drama"
"drama","o drama"
"drastic","drástica"
"drastically","drasticamente"
"dread","pavor"
"dread","pavor"
"dreadful","terrível"
"dreadfully","terrivelmente"
"dreadfulness","dreadfulness"
"dreary","sombria"
"drones","drones"
"drones","drones"
"droop","droop"
"drought","seca"
"drought","seca"
"drowning","afogamento"
"drunk","bêbado"
"drunkard","bêbado"
"drunken","embriagado"
"dubious","duvidosa"
"dubiously","dubiously"
"dubitable","dubitable"
"dud","dud"
"dull","maçante"
"dullard","dullard"
"dumb","mudo"
"dumb","mudo"
"dumbfound","dumbfound"
"dumbfounded","estupefato"
"dummy","manequim"
"dump","despejo"
"dunce","burro"
"dungeon","calabouço"
"dungeons","dungeons"
"dungeons","dungeons"
"dupe","dupe"
"dusty","empoeirado"
"dwindle","Dwindle"
"dwindling","cada vez menor"
"dying","morrendo"
"earsplitting","earsplitting"
"eccentric","excêntrico"
"eccentricity","excentricidade"
"edgy","edgy"
"effigy","efígie"
"effrontery","descaramento"
"ego","ego"
"ego","ego"
"egocentric","egocêntrica"
"egomania","egomania"
"egotism","egoísmo"
"egotistical","egoísta"
"egotistically","egoisticamente"
"egregious","egrégio"
"egregiously","egregiously"
"ejaculate","ejaculado"
"election-rigger","eleição-rigger"
"election-rigger","eleição-rigger"
"eliminate","eliminar"
"elimination","eliminação"
"emaciated","emagrecido"
"emasculate","castrar"
"embarrass","embaraçar"
"embarrassing","embaraçoso"
"embarrassingly","embaraçosamente"
"embarrassment","constrangimento"
"embattled","aguerrido"
"embroil","embroil"
"embroiled","enredado"
"embroilment","embroilment"
"emotional","emocional"
"empathize","empatia"
"empathy","empatia"
"emphatic","enfática"
"emphatically","enfaticamente"
"emptiness","vazio"
"emptiness","vazio"
"empty","vazio"
"encroach","invadir"
"encroachment","invasão"
"endanger","pôr em perigo"
"endless","interminável"
"enemies","inimigos"
"enemies","inimigos"
"enemy","inimigo"
"enervate","enervate"
"enfeeble","enfraquecer"
"enflame","inflamar"
"engulf","engolfar"
"enjoin","intimar"
"enmity","inimizade"
"enormities","enormidades"
"enormity","enormidade"
"enormous","enorme"
"enormously","enormemente"
"enrage","enfurecer"
"enraged","enfurecido"
"enslave","escravizar"
"entangle","enredar"
"entanglement","emaranhamento"
"entrap","enredar"
"entrapment","aprisionamento"
"envious","invejoso"
"enviously","enviously"
"enviousness","enviousness"
"envy","inveja"
"envy","inveja"
"epidemic","epidemia"
"equivocal","equívoca"
"eradicate","erradicar"
"erase","apagar"
"erode","corroer"
"erosion","erosão"
"err","err"
"errant","errante"
"erratic","errático"
"erratically","erraticamente"
"erroneous","errônea"
"erroneous","errônea"
"erroneously","erroneamente"
"error","erro"
"error","erro"
"escapade","escapade"
"eschew","abster-se"
"esoteric","esotérico"
"estranged","alienado"
"eternal","eterna"
"evade","evadir"
"evasion","evasão"
"evasive","evasiva"
"evil","mal"
"evil","mal"
"evildoer","malfeitor"
"evils","males"
"evils","males"
"eviscerate","eviscerar"
"exacerbate","exacerbar"
"exacting","exigente"
"exaggerate","exagerar"
"exaggeration","exagero"
"exaggeration","exagero"
"exasperate","exasperar"
"exasperation","exasperação"
"exasperating","exasperante"
"exasperatingly","exasperatingly"
"excessive","excessiva"
"excessively","excessivamente"
"exclaim","exclamar"
"exclude","excluir"
"exclusion","exclusão"
"excoriate","excoriate"
"excruciating","excruciante"
"excruciatingly","dolorosamente"
"excuse","desculpa"
"excuse","desculpa"
"excuses","desculpas"
"excuses","desculpas"
"execrate","execrar"
"exhaust","escape"
"exhaustion","exaustão"
"exhort","exortar"
"exile","exílio"
"exorbitant","exorbitante"
"exorbitantance","exorbitantance"
"exorbitantly","exorbitantemente"
"expedient","expediente"
"expediencies","expedientes"
"expediencies","expedientes"
"expel","expelir"
"expensive","caro"
"expensive","caro"
"expire","expiram"
"explode","explodir"
"exploit","explorar"
"exploitation","exploração"
"exploitation","exploração"
"expose","expor"
"exposed","exposta"
"explosive","explosiva"
"expropriate","expropriar"
"expropriate","expropriar"
"expropriation","expropriação"
"expropriation","expropriação"
"expulse","expulse"
"expunge","expurgar"
"exterminate","exterminar"
"extermination","extermínio"
"extinguish","extinguir"
"extort","extorquir"
"extortion","extorsão"
"extraneous","estranho"
"extravagance","extravagância"
"extravagant","extravagante"
"extravagantly","extravagantemente"
"extreme","extrema"
"extreme","extrema"
"extremely","extremamente"
"extremism","extremismo"
"extremism","extremismo"
"extremist","extremista"
"extremists","extremistas"
"extremists","extremistas"
"fabricate","fabricar"
"fabrication","fabricação"
"facetious","jocoso"
"facetiously","facetiously"
"fading","desvanecimento"
"fail","falhar"
"failing","não"
"failure","falha"
"failure","falha"
"failures","falhas"
"failures","falhas"
"faint","desmaio"
"fainthearted","fainthearted"
"faithless","infiel"
"fake","falso"
"fall","cair"
"fallacies","falácias"
"fallacies","falácias"
"fallacious","falacioso"
"fallaciously","falaciosamente"
"fallaciousness","falácia"
"fallacy","falácia"
"fallout","precipitação"
"false","falso"
"false","falso"
"falsehood","falsidade"
"falsely","falsamente"
"falsify","falsificar"
"famine","fome"
"famished","faminto"
"fanatic","fanático"
"fanatical","fanática"
"fanatically","fanaticamente"
"fanaticism","fanatismo"
"fanatics","fanáticos"
"fanciful","fantasiosa"
"far-fetched","rebuscado"
"farfetched","farfetched"
"farce","farsa"
"farcical","farcical"
"farcical-yet-provocative","farcical-ainda-provocante"
"farcically","farcically"
"fascism","fascismo"
"fascism","fascismo"
"fascist","fascista"
"fastidious","meticuloso"
"fastidiously","fastidiously"
"fastuous","fastuous"
"fat","gordura"
"fatal","fatal"
"fatalistic","fatalista"
"fatalistically","fatalista"
"fatally","fatalmente"
"fateful","fatídica"
"fatefully","fatalmente"
"fathomless","insondável"
"fatigue","fadiga"
"fatty","graxos"
"fatuity","fatuidade"
"fatuous","fátuo"
"fatuously","tolamente"
"fault","falha"
"faulty","defeituoso"
"fawningly","fawningly"
"faze","faze"
"fear","medo"
"fear","medo"
"fearful","temerosos"
"fearfully","temerosamente"
"fears","medos"
"fears","medos"
"fearsome","temível"
"feckless","feckless"
"feeble","débil"
"feeblely","feeblely"
"feebleminded","desanimados"
"feign","fingir"
"feint","finta"
"fell","caiu"
"felon","criminoso"
"felonious","felonious"
"ferocious","feroz"
"ferociously","ferozmente"
"ferocity","ferocidade"
"feverish","febril"
"fetid","fétida"
"fever","febre"
"fiasco","fiasco"
"fiat","fiat"
"fiat","fiat"
"fib","fib"
"fib","fib"
"fibber","mentiroso"
"fickle","inconstante"
"fiction","ficção"
"fiction","ficção"
"fictional","ficcional"
"fictitious","fictício"
"fidget","fidget"
"fidgety","inquieto"
"fiend","demônio"
"fiendish","diabólica"
"fierce","feroz"
"fight","luta"
"fight","luta"
"figurehead","figura de proa"
"figurehead","figura de proa"
"filth","filth"
"filthy","imundo"
"finagle","finagle"
"fine","multa"
"fissures","fissuras"
"fissures","fissuras"
"fist","punho"
"flabbergast","flabbergast"
"flabbergasted","boquiabertos"
"flagging","sinalização"
"flagrant","flagrante"
"flagrantly","flagrantemente"
"flak","Flak"
"flak","Flak"
"flake","floco"
"flakey","flakey"
"flaky","escamosa"
"flash","flash"
"flash","flash"
"flashy","chamativo"
"flat-out","flat-out"
"flaunt","ostentá"
"flaw","falha"
"flaw","falha"
"flaws","falhas"
"flawed","falho"
"flawed","falho"
"fleer","fleer"
"fleeting","fugaz"
"flighty","volúvel"
"flimflam","flimflam"
"flimsy","frágil"
"flirt","namoradeira"
"flirty","Glamour"
"floored","pavimentado"
"flounder","linguado"
"floundering","debatendo"
"flout","desrespeitam"
"fluster","fluster"
"foe","inimigo"
"fool","enganar"
"foolhardy","temerário"
"foolish","foolish"
"foolishly","tolamente"
"foolishness","loucura"
"forbid","proíbem"
"forbidden","proibido"
"forbidding","proibindo"
"forbidding","proibindo"
"force","força"
"forceful","enérgica"
"foreboding","pressentimento"
"forebodingly","forebodingly"
"forfeit","perde"
"forged","forjado"
"forget","esquecer"
"forgetful","esquecido"
"forgetfully","forgetfully"
"forgetfulness","esquecimento"
"forlorn","desamparado"
"forlornly","forlornly"
"formidable","formidável"
"forsake","abandonar"
"forsaken","abandonado"
"forswear","renegar"
"foul","falta"
"foul","falta"
"foul","falta"
"foully","abominavelmente"
"foulness","foulness"
"fractious","fractious"
"fractiously","fractiously"
"fracture","fratura"
"fracture","fratura"
"fragile","frágil"
"fragile","frágil"
"fragmented","fragmentado"
"frail","frágil"
"frantic","frenético"
"frantically","freneticamente"
"franticly","franticly"
"fraternize","confraternizar"
"fraud","fraude"
"fraud","fraude"
"fraudulent","fraudulenta"
"fraught","cheio"
"fraught","cheio"
"freak","aberração"
"freak","aberração"
"freakish","bizarro"
"freakish","bizarro"
"freakish","bizarro"
"freakishly","assustadoramente"
"frazzle","frazzle"
"frazzle","frazzle"
"frazzled","esgotada"
"frenetic","frenético"
"frenetically","freneticamente"
"frenzied","frenético"
"frenzy","frenesi"
"fret","traste"
"fretful","fretful"
"friction","fricção"
"friction","fricção"
"frictions","atritos"
"frictions","atritos"
"friggin","maldito"
"fright","susto"
"fright","susto"
"frighten","assustam"
"frightening","assustadora"
"frighteningly","assustadoramente"
"frighteningly","assustadoramente"
"frightful","assustadora"
"frightfully","assustadoramente"
"frigid","frígida"
"frivolous","frívolo"
"frown","carranca"
"frown","carranca"
"frozen","congelada"
"fruitless","infrutífera"
"fruitlessly","fruitlessly"
"fumble","fumble"
"fun","diversão"
"frustrate","frustrar"
"frustrated","frustrado"
"frustrating","frustrante"
"frustrating","frustrante"
"frustratingly","frustrantemente"
"frustration","frustração"
"fudge","fudge"
"fudge","fudge"
"fudge","fudge"
"fugitive","fugitivo"
"full-blown","full-blown"
"fulminate","fulminar"
"fume","fume"
"fundamentalism","fundamentalismo"
"fundamentalism","fundamentalismo"
"furious","furioso"
"furiously","furiosamente"
"furor","furor"
"fury","fúria"
"fuss","fuss"
"fuss","fuss"
"fuss","fuss"
"fustigate","fustigam"
"fussy","exigente"
"fusty","tulha"
"futile","fútil"
"futilely","inutilmente"
"futility","futilidade"
"fuzzy","difusa"
"gabble","gabble"
"gaff","gaff"
"gaffe","gaffe"
"gainsay","contradizer"
"gainsayer","gainsayer"
"gaga","gaga"
"gaggle","bando"
"gall","fel"
"galling","irritante"
"gallingly","gallingly"
"gamble","gamble"
"gamble","gamble"
"game","jogo"
"gape","gape"
"garbage","lixo"
"garbage","lixo"
"garish","berrante"
"gasp","suspiro"
"gasp","suspiro"
"gauche","gauche"
"gaudy","berrante"
"gawk","embasbacar"
"gawky","gawky"
"geezer","Geezer"
"genocide","genocídio"
"genocide","genocídio"
"get-rich","fique rico"
"get-rich","fique rico"
"ghastly","medonho"
"ghetto","gueto"
"gibber","gibber"
"gibberish","jargão"
"gibe","Gibe"
"glare","brilho"
"glare","brilho"
"glaring","flagrante"
"glaringly","flagrantemente"
"glib","glib"
"glibly","glibly"
"glitch","falha"
"gloatingly","gloatingly"
"gloom","gloom"
"gloomy","sombrio"
"gloss","gloss"
"glower","pascoa"
"glum","taciturno"
"glut","excesso"
"gnawing","roer"
"goad","aguilhão"
"goading","goading"
"god-awful","horrível"
"goddam","maldito"
"goddamn","maldito"
"goof","goof"
"goof","goof"
"gossip","fofocas"
"gossip","fofocas"
"gossip","fofocas"
"graceless","sem graça"
"gracelessly","gracelessly"
"graft","enxerto"
"grandiose","grandiosa"
"grapple","lidar"
"grate","grelha"
"grating","grade"
"gratuitous","gratuita"
"gratuitous","gratuita"
"gratuitously","gratuitamente"
"grave","sepultura"
"gravely","gravemente"
"greed","ganância"
"greedy","ganancioso"
"grief","dor"
"grievance","agravo"
"grievances","queixas"
"grievances","queixas"
"grieve","entristecer"
"grieving","luto"
"grievous","grave"
"grievously","grievously"
"grill","grelha"
"grim","sombria"
"grimace","careta"
"grind","moagem"
"grind","moagem"
"gripe","gripe"
"gripe","gripe"
"grisly","macabra"
"gritty","corajoso"
"gross","gross"
"grossly","grosseiramente"
"grotesque","grotesco"
"grouch","resmungão"
"grouchy","ranzinza"
"groundless","infundada"
"grouse","perdiz"
"growl","rosnado"
"grudge","rancor"
"grudges","rancores"
"grudges","rancores"
"grudging","relutante"
"grudgingly","contragosto"
"gruesome","macabro"
"gruesomely","gruesomely"
"gruff","rude"
"grumble","resmungar"
"guile","dolo"
"guilt","culpa"
"guilty","culpado"
"guiltily","culposamente"
"gullible","crédulo"
"haggard","Haggard"
"haggle","regatear"
"halfhearted","halfhearted"
"halfheartedly","halfheartedly"
"hallucinate","alucinações"
"hallucination","alucinação"
"hamper","dificultar"
"hamstring","isquiotibiais"
"hamstrung","hamstrung"
"handicapped","deficientes"
"hapless","infeliz"
"haphazard","aleatória"
"harangue","arenga"
"harass","assediar"
"harassment","assédio"
"harassment","assédio"
"harboring","guarida"
"harboring","guarida"
"harbors","portos"
"harbors","portos"
"hard","difícil"
"hard-hit","hard-hit"
"hard-line","linha-dura"
"hard-liner","linha-dura"
"hardball","duro"
"hardball","duro"
"harden","Harden"
"hardened","endurecido"
"hardheaded","hardheaded"
"hardhearted","hardhearted"
"hardliner","hardliner"
"hardliners","linha dura"
"hardliners","linha dura"
"hardly","mal"
"hardship","dificuldades"
"hardships","dificuldades"
"hardships","dificuldades"
"harm","danos"
"harm","danos"
"harmful","prejudicial"
"harms","danos"
"harms","danos"
"harpy","harpia"
"harridan","harridan"
"harried","atormentado"
"harrow","grade"
"harsh","dura"
"harshly","asperamente"
"hassle","aborrecimento"
"haste","pressa"
"haste","pressa"
"hasty","apressada"
"hasty","apressada"
"hate","odeio"
"hater","inimigo"
"hateful","odiosa"
"hatefully","ódio"
"hatefulness","ódio"
"haughtily","altivez"
"haughty","altivo"
"hatred","ódio"
"haunt","assombrar"
"haunting","assombração"
"havoc","estragos"
"hawkish","hawkish"
"hawkish","hawkish"
"hazard","perigo"
"hazard","perigo"
"hazardous","perigosos"
"hazy","nebuloso"
"headache","dor de cabeça"
"headaches","dores de cabeça"
"headaches","dores de cabeça"
"heartbreak","desgosto"
"heartbreaker","destruidor de corações"
"heartbreaking","desolador"
"heartbreakingly","heartbreakingly"
"heartless","sem coração"
"heartrending","dilacerante"
"heathen","pagão"
"heathen","pagão"
"heavily","pesadamente"
"heavy-handed","pesada"
"heavyhearted","coração pesado"
"heck","Parreira"
"heck","Parreira"
"heckle","heckle"
"hectic","agitado"
"hedge","cobertura"
"hedonistic","hedonista"
"heedless","desatentos"
"hegemonism","hegemonismo"
"hegemonism","hegemonismo"
"hegemonistic","hegemônista"
"hegemony","hegemonia"
"hegemony","hegemonia"
"hegemony","hegemonia"
"heinous","hediondo"
"hell","inferno"
"hell-bent","obcecadas"
"hellion","Hellion"
"helpless","desamparado"
"helplessly","impotente"
"helplessness","desamparo"
"heresy","heresia"
"heretic","herege"
"heretical","herética"
"hesitant","hesitante"
"hideous","hediondo"
"hideously","horrivelmente"
"hideousness","hediondez"
"hinder","dificultar"
"hindrance","impedimento"
"hoard","tesouro"
"hoax","engano"
"hobble","mancar"
"hole","buraco"
"hollow","oco"
"hoodwink","hoodwink"
"hopeless","sem esperança"
"hopelessly","irremediavelmente"
"hopelessness","desesperança"
"horde","horda"
"horrendous","horrendo"
"horrendously","horrendously"
"horrible","horrível"
"horrible","horrível"
"horribly","horrivelmente"
"horrid","horrível"
"horrific","horrível"
"horrifically","horrifically"
"horrify","horrorizar"
"horrify","horrorizar"
"horrifying","horripilante"
"horrifyingly","horrifyingly"
"horror","horror"
"horrors","horrores"
"hostage","refém"
"hostile","hostil"
"hostile","hostil"
"hostilities","hostilidades"
"hostilities","hostilidades"
"hostility","hostilidade"
"hostility","hostilidade"
"hothead","cabeça quente"
"hotheaded","hotheaded"
"hotbeds","hotbeds"
"hotbeds","hotbeds"
"hothouse","estufa"
"hothouse","estufa"
"hubris","hubris"
"huckster","mascate"
"humbling","humilhante"
"humiliate","humilhá"
"humiliating","humilhante"
"humiliation","humilhação"
"hunger","fome"
"hungry","com fome"
"hurt","ferido"
"hurt","ferido"
"hurtful","doloroso"
"hustler","hustler"
"hypocrisy","hipocrisia"
"hypocrite","hipócrita"
"hypocrites","hipócritas"
"hypocritical","hipócrita"
"hypocritically","hipocritamente"
"hysteria","histeria"
"hysteric","histérica"
"hysterical","histérica"
"hysterically","histericamente"
"hysterics","histéricos"
"icy","gelado"
"idiocies","idiocies"
"idiocy","idiotice"
"idiot","idiota"
"idiotic","idiota"
"idiotically","idiotamente"
"idiots","idiotas"
"idle","ocioso"
"ignoble","ignóbil"
"ignominious","ignominiosa"
"ignominiously","ignominiosamente"
"ignominy","ignomínia"
"ignore","ignorar"
"ignorance","ignorância"
"ignorance","ignorância"
"ignorant","ignorante"
"ignorant","ignorante"
"ill","doente"
"ill","doente"
"ill-advised","mal aconselhado"
"ill-conceived","mal concebida"
"ill-fated","malfadada"
"ill-favored","desfavorecida"
"ill-mannered","mal-educado"
"ill-natured","mal-humorado"
"ill-sorted","mal-resolvido"
"ill-tempered","mal-humorado"
"ill-treated","maus-tratos"
"ill-treatment","maus-tratos"
"ill-treatment","maus-tratos"
"ill-usage","maus-tratos"
"ill-used","mal utilizado"
"illegal","ilegal"
"illegally","ilegalmente"
"illegitimate","ilegítimo"
"illicit","ilícito"
"illiquid","ilíquidos"
"illiterate","analfabetos"
"illness","doença"
"illogic","illogic"
"illogical","ilógico"
"illogically","ilogicamente"
"illusion","ilusão"
"illusion","ilusão"
"illusions","ilusões"
"illusions","ilusões"
"illusory","ilusório"
"imaginary","imaginária"
"imbalance","desequilíbrio"
"imbalance","desequilíbrio"
"imbecile","imbecil"
"imbroglio","imbroglio"
"immaterial","imaterial"
"immature","imaturo"
"imminence","iminência"
"imminent","iminente"
"imminently","iminentemente"
"immobilized","imobilizado"
"immoderate","imoderado"
"immoderately","imoderadamente"
"immodest","imodesto"
"immoral","imoral"
"immorality","imoralidade"
"immorally","imoralmente"
"immovable","imóveis"
"impair","prejudicar"
"impaired","prejudicada"
"impasse","impasse"
"impatience","impaciência"
"impatient","impaciente"
"impatiently","impacientemente"
"impeach","impeachment"
"impede","impedir"
"impedance","impedância"
"impediment","impedimento"
"impending","iminente"
"impending","iminente"
"impenitent","impenitente"
"imperfect","imperfeita"
"imperfectly","imperfeitamente"
"imperialist","imperialista"
"imperil","pôr em perigo"
"imperious","imperiosa"
"imperiously","imperiosamente"
"impermissible","inadmissível"
"impersonal","impessoal"
"impertinent","impertinente"
"impetuous","impetuoso"
"impetuously","impetuosamente"
"impiety","impiedade"
"impinge","colidir"
"impious","ímpio"
"implacable","implacável"
"implausible","implausível"
"implausibly","implausibly"
"implicate","implicar"
"implication","implicação"
"implication","implicação"
"implode","implodir"
"impolite","descortês"
"impolitely","impolitely"
"impolitic","imprudente"
"importunate","importunate"
"importune","importune"
"impose","impor"
"imposers","impostores"
"imposers","impostores"
"imposing","impondo"
"imposing","impondo"
"imposition","imposição"
"imposition","imposição"
"impossible","impossível"
"impossiblity","impossiblity"
"impossibly","impossivelmente"
"impotent","impotente"
"impotent","impotente"
"impoverish","empobrecer"
"impoverished","empobrecida"
"impractical","impraticável"
"impractical","impraticável"
"imprecate","imprecate"
"imprecise","imprecisa"
"imprecisely","imprecisa"
"imprecision","imprecisão"
"improbability","improbabilidade"
"improbable","improvável"
"improbably","improvavelmente"
"improper","impróprio"
"improperly","indevidamente"
"impropriety","impropriedade"
"imprudence","imprudência"
"imprudent","imprudente"
"impudence","impudência"
"impudent","impudente"
"impudently","impudently"
"impugn","impugnar"
"impulsive","impulsivo"
"impulsively","impulsivamente"
"impunity","impunidade"
"impunity","impunidade"
"impure","impuro"
"impurity","impureza"
"inability","incapacidade"
"inability","incapacidade"
"inaccessible","inacessível"
"inaccuracy","inexatidão"
"inaccuracies","imprecisões"
"inaccurate","imprecisas"
"inaccurately","imprecisamente"
"inaction","inação"
"inactive","inativa"
"inadequacy","inadequação"
"inadequate","inadequada"
"inadequately","inadequadamente"
"inadverent","inadverent"
"inadverently","inadverently"
"inadvisable","desaconselhável"
"inadvisably","inadvisably"
"inane","inane"
"inanely","inanely"
"inappropriate","impróprio"
"inappropriately","inapropriadamente"
"inapt","inaptos"
"inaptitude","inaptidão"
"inarticulate","inarticulado"
"inattentive","desatento"
"incapable","incapaz"
"incapably","incapably"
"incautious","incauto"
"incendiary","incendiário"
"incense","incenso"
"incessant","incessante"
"incessantly","incessantemente"
"incite","incitar"
"incitement","incitamento"
"incitement","incitamento"
"incivility","incivilidade"
"inclement","inclemente"
"incognizant","incognizant"
"incoherence","incoerência"
"incoherent","incoerente"
"incoherently","incoerentemente"
"incommensurate","incomensuráveis"
"incomparable","incomparável"
"incomparably","incomparavelmente"
"incompatibility","incompatibilidade"
"incompatible","incompatível"
"incompatible","incompatível"
"incompetence","incompetência"
"incompetent","incompetente"
"incompetently","incompetently"
"incomplete","incompleto"
"incompliant","incompliant"
"incomprehensible","incompreensível"
"incomprehension","incompreensão"
"inconceivable","inconcebível"
"inconceivably","inconcebivelmente"
"inconclusive","inconclusiva"
"incongruous","incongruente"
"incongruously","incongruente"
"inconsequent","inconseqüente"
"inconsequently","inconseqüente"
"inconsequential","inconseqüente"
"inconsequentially","inconseqüente"
"inconsiderate","imprudente"
"inconsiderately","inconsiderately"
"inconsistence","inconsistência"
"inconsistencies","inconsistências"
"inconsistencies","inconsistências"
"inconsistency","inconsistência"
"inconsistent","inconsistente"
"inconsolable","inconsolável"
"inconsolably","inconsolavelmente"
"inconstant","inconstante"
"inconvenience","inconveniência"
"inconvenience","inconveniência"
"inconvenient","inconveniente"
"inconveniently","inconvenientemente"
"incorrect","incorreto"
"incorrectly","incorretamente"
"incorrigible","incorrigível"
"incorrigibly","incorrigivelmente"
"incredulous","incrédula"
"incredulously","incrédula"
"inculcate","inculcar"
"indecency","indecência"
"indecent","indecente"
"indecently","indecentemente"
"indecision","indecisão"
"indecisive","indeciso"
"indecisively","indeciso"
"indecorum","indecorum"
"indefensible","indefensável"
"indefensible","indefensável"
"indefinite","por tempo indeterminado"
"indefinitely","indefinidamente"
"indelicate","indelicado"
"indeterminable","indeterminável"
"indeterminably","indeterminably"
"indeterminate","indeterminado"
"indifference","indiferença"
"indifferent","indiferente"
"indigent","indigente"
"indignant","indignado"
"indignantly","indignado"
"indignation","indignação"
"indignity","indignidade"
"indignity","indignidade"
"indiscernible","indiscernível"
"indiscreet","indiscreto"
"indiscreet","indiscreto"
"indiscreetly","indiscretamente"
"indiscretion","indiscrição"
"indiscriminate","indiscriminado"
"indiscriminating","indiscriminado"
"indiscriminately","indiscriminadamente"
"indisposed","indisposto"
"indistinct","indistinta"
"indistinctive","indistinto"
"indoctrinate","doutrinar"
"indoctrination","doutrinação"
"indoctrination","doutrinação"
"indolent","indolente"
"indulge","entrar"
"ineffective","ineficazes"
"ineffectively","ineficaz"
"ineffectiveness","ineficácia"
"ineffectual","ineficaz"
"ineffectually","inutilmente"
"ineffectualness","ineficácia"
"inefficacious","ineficaz"
"inefficacious","ineficaz"
"inefficacy","ineficácia"
"inefficiency","ineficiência"
"inefficient","ineficiente"
"inefficiently","ineficientemente"
"ineligible","inelegível"
"inelegance","inelegance"
"inelegant","deselegante"
"ineloquent","ineloquent"
"ineloquently","ineloquently"
"inept","inepto"
"ineptitude","inépcia"
"ineptitude","inépcia"
"ineptly","ineptly"
"inequalities","desigualdades"
"inequalities","desigualdades"
"inequality","desigualdade"
"inequality","desigualdade"
"inequitable","desigual"
"inequitably","desigualmente"
"inequities","desigualdades"
"inequities","desigualdades"
"inertia","inércia"
"inertia","inércia"
"inescapable","inescapável"
"inescapably","inescapavelmente"
"inessential","não essencial"
"inevitable","inevitável"
"inevitable","inevitável"
"inevitably","inevitavelmente"
"inexact","inexata"
"inexcusable","indesculpável"
